,period,short_description,temperatures
0,Today,Showers andBreezy,High: 46 °F
1,Tonight,ShowersLikely andBreezy,Low: 42 °F
2,Friday,ShowersLikely andBreezy,High: 47 °F
3,FridayNight,ShowersLikely andBreezy,Low: 41 °F
4,Saturday,ChanceShowers,High: 48 °F
5,SaturdayNight,Mostly Cloudy,Low: 42 °F
6,Sunday,Partly Sunny,High: 51 °F
7,SundayNight,Rain Likely,Low: 39 °F
8,Monday,Rain Likely,High: 49 °F
